foodEnhanceIndate,foodName,ingredientIndate,ingredientName,quantity
2025-07-27T05:59:30.847Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,1
2025-07-27T05:59:31.060Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,2
2025-07-27T05:59:31.260Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,4
2025-07-27T05:59:31.463Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,7
2025-07-27T05:59:31.686Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,11
2025-07-27T05:59:31.898Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,16
2025-07-27T05:59:32.105Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,22
2025-07-27T05:59:32.335Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,29
2025-07-27T05:59:32.566Z,걷는 버섯 육포,2025-07-16T02:27:45.379Z,버섯 갓,37

2025-07-27T05:59:30.847Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,2
2025-07-27T05:59:31.060Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,3
2025-07-27T05:59:31.260Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,5
2025-07-27T05:59:31.463Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,8
2025-07-27T05:59:31.686Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,12
2025-07-27T05:59:31.898Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,18
2025-07-27T05:59:32.105Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,19
2025-07-27T05:59:32.335Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,32
2025-07-27T05:59:32.566Z,걷는 버섯 육포,2025-07-16T02:27:45.068Z,미믹 살점,40

2025-07-27T05:59:28.952Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,1
2025-07-27T05:59:29.171Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,2
2025-07-27T05:59:29.375Z,덩굴버섯 오믈렛,2025-07-16T02:27:44.621Z,덩굴 줄기,4
