foodIndate,foodName,grade,goldCost,successRate,priceMultiplier
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,1,110,80,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,2,160,60,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,3,220,40,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,4,310,30,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,5,430,20,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,6,580,10,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,7,770,5,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,8,1000,3,0
2025-07-16T02:27:36.856Z,혼돈의 뿔스프,9,1300,1,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,1,180,80,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,2,260,60,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,3,370,40,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,4,520,30,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,5,710,20,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,6,940,10,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,7,1240,5,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,8,1600,3,0
2025-07-16T02:27:37.481Z,용눈물 바비큐,9,2060,1,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,1,50,80,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,2,75,60,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,3,110,40,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,4,160,30,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,5,230,20,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,6,320,10,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,7,430,5,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,8,570,3,0
2025-07-16T02:27:36.414Z,엔트 세순 나물무침,9,750,1,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,1,70,80,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,2,100,60,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,3,140,40,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,4,200,30,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,5,280,20,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,6,390,10,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,7,520,5,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,8,690,3,0
2025-07-16T02:27:36.110Z,눈알 포자 주스,9,900,1,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,1,180,80,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,2,260,60,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,3,370,40,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,4,520,30,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,5,710,20,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,6,940,10,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,7,1240,5,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,8,1600,3,0
2025-07-16T02:27:37.786Z,화염의 심장 스테이크,9,2060,1,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,1,150,80,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,2,220,60,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,3,310,40,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,4,430,30,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,5,590,20,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,6,780,10,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,7,1030,5,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,8,1330,3,0
2025-07-16T02:27:37.129Z,불멸의 뿌리 수프,9,1720,1,0
2025-07-16T02:27:36.268Z,미믹 바비큐 플레이트,1,60,80,0
